HomePD,z_house,z_apart,z_town,z_zeroCar,z_oneCar,z_twoCars,z_threePlusCars,z_oneAdult,z_oneAdultChildren,z_twoAdults,z_twoAdultsChildren,z_twoPlusAdults,z_twoPlusAdultsChildren,z_zeroKid,z_oneKid,z_twoKids,z_threeKids,z_fourPlusKids,z_pOne,z_pTwo,z_pThree,z_pFour,z_pFivePlus
29,0.707393266,0.160360986,0.132245748,0.043040611,0.328705311,0.49392572,0.134328358,0.122874002,0.008330441,0.281152378,0.150642138,0.337729955,0.099271086,0.741756335,0.139534884,0.098923985,0.016660882,0.003123915,0.122874002,0.286011801,0.235682055,0.249219021,0.10621312
30,0.884673748,0.056145675,0.059180577,0.033383915,0.295902883,0.508345979,0.162367223,0.159332322,0.006069803,0.393019727,0.153262519,0.209408194,0.078907436,0.761760243,0.107738998,0.104704097,0.02276176,0.003034901,0.159332322,0.396054628,0.172989378,0.180576631,0.091047041
31,0.778428819,0.114800347,0.106770833,0.030381944,0.309461806,0.509114583,0.151041667,0.107204861,0.005859375,0.284505208,0.11328125,0.374348958,0.114800347,0.766059028,0.122612847,0.093098958,0.016927083,0.001302083,0.107204861,0.287543403,0.225911458,0.243272569,0.136067708
32,0.962457338,0.027303754,0.010238908,0.017064846,0.215017065,0.501706485,0.266211604,0.119453925,0.003412969,0.399317406,0.105802048,0.296928328,0.075085324,0.815699659,0.09556314,0.061433447,0.020477816,0.006825939,0.119453925,0.402730375,0.201365188,0.180887372,0.09556314
33,0.798640997,0.111438279,0.089920725,0.040317101,0.305096263,0.502378256,0.152208381,0.101925255,0.005889015,0.280860702,0.171460929,0.326613817,0.113250283,0.709399773,0.139071348,0.124801812,0.023556059,0.003171008,0.101925255,0.28380521,0.205889015,0.25594564,0.152434881
34,0.930434783,0.035748792,0.033816425,0.022222222,0.211594203,0.51884058,0.247342995,0.131400966,0.008695652,0.381642512,0.117874396,0.280193237,0.080193237,0.793236715,0.093719807,0.085024155,0.025120773,0.002898551,0.131400966,0.385507246,0.17294686,0.2,0.110144928
35,0.764654162,0.149765533,0.085580305,0.063305979,0.35873388,0.448856975,0.129103165,0.114302462,0.009378664,0.251025791,0.149032825,0.315943728,0.16031653,0.681271981,0.159144197,0.125293083,0.027989449,0.00630129,0.114302462,0.254982415,0.193288394,0.240767878,0.196658851
36,0.588271228,0.278122,0.133606772,0.076271926,0.407539925,0.411990575,0.104197574,0.153503796,0.009686709,0.298717166,0.12217471,0.310585566,0.105332053,0.762806528,0.131686884,0.083951479,0.018849812,0.002705297,0.153503796,0.304040492,0.208220613,0.20944236,0.124792739
37,0.805769231,0.102884615,0.091346154,0.031730769,0.290384615,0.5125,0.165384615,0.181730769,0.015384615,0.348076923,0.157692308,0.215384615,0.081730769,0.745192308,0.116346154,0.102884615,0.029807692,0.005769231,0.181730769,0.353846154,0.195192308,0.175961538,0.093269231
38,0.750394945,0.107424961,0.142180095,0.02764613,0.301737757,0.522906793,0.147709321,0.119273302,0.010268562,0.33807267,0.211690363,0.213270142,0.107424961,0.670616114,0.154818325,0.140600316,0.030015798,0.003949447,0.119273302,0.342812006,0.195892575,0.223538705,0.118483412
39,0.704958423,0.172466893,0.122574684,0.052971974,0.326455189,0.484755159,0.135817678,0.176778565,0.006467508,0.374499538,0.121650755,0.23960579,0.080997844,0.790883893,0.101016323,0.091777025,0.012319064,0.004003696,0.176778565,0.376963351,0.173390822,0.192793348,0.080073914
40,0.587108544,0.257829127,0.155062329,0.065065369,0.38583156,0.452113104,0.096989967,0.228944968,0.01368197,0.409851019,0.135299483,0.165095774,0.047126786,0.80389176,0.100030404,0.077227121,0.016418364,0.00243235,0.228944968,0.418668288,0.161143205,0.136515658,0.054727881
41,0.936065574,0.040983607,0.02295082,0.014754098,0.245901639,0.506557377,0.232786885,0.137704918,0.003278689,0.437704918,0.078688525,0.272131148,0.070491803,0.847540984,0.086885246,0.049180328,0.008196721,0.008196721,0.137704918,0.440983607,0.172131148,0.159016393,0.090163934
42,0.595026643,0.303730018,0.101243339,0.095914742,0.413854352,0.412078153,0.078152753,0.261101243,0.005328597,0.403197158,0.142095915,0.152753108,0.035523979,0.81705151,0.071047957,0.092362345,0.012433393,0.007104796,0.261101243,0.404973357,0.136767318,0.14920071,0.047957371
43,0.786982249,0.068047337,0.144970414,0.038461538,0.318047337,0.49260355,0.150887574,0.174556213,0.00443787,0.405325444,0.122781065,0.24112426,0.051775148,0.821005917,0.081360947,0.082840237,0.01183432,0.00295858,0.174556213,0.406804734,0.176035503,0.173076923,0.069526627
44,0.828846154,0.028846154,0.142307692,0.015384615,0.259615385,0.561538462,0.163461538,0.115384615,0.013461538,0.365384615,0.275,0.165384615,0.065384615,0.646153846,0.132692308,0.171153846,0.038461538,0.011538462,0.115384615,0.369230769,0.171153846,0.244230769,0.1
45,0.722470904,0.117278424,0.160250671,0.051924799,0.328558639,0.458370636,0.161145927,0.168307968,0.007162041,0.375111907,0.125335721,0.252461952,0.071620412,0.795881826,0.101163832,0.081468218,0.020590868,0.000895255,0.168307968,0.376902417,0.186213071,0.174574754,0.094001791
46,0.619889823,0.319802841,0.060307335,0.20600174,0.468396637,0.263989562,0.061612061,0.304436068,0.01304726,0.354595535,0.087851551,0.18309655,0.056973036,0.842128153,0.090750942,0.051464193,0.012612351,0.003044361,0.304436068,0.362568861,0.15018846,0.11757031,0.0652363
